Kod;Nazwa;"wypadki ogółem;2013;[osoba]";"wypadki ogółem;2014;[osoba]";"wypadki ogółem;2015;[osoba]";"wypadki ogółem;2016;[osoba]";"wypadki ogółem;2017;[osoba]";"wypadki ogółem;2018;[osoba]";"wypadki ogółem;2019;[osoba]";"wypadki ogółem;2020;[osoba]";"wypadki ogółem;2021;[osoba]"
11212000000;PODREGION KRAKOWSKI;706;724;811;803;847;843;834;680;813
11212100000;PODREGION MIASTO KRAKÓW;2278;2292;2206;2226;2257;2134;2144;1500;1655
11212200000;PODREGION NOWOSĄDECKI;832;812;784;788;809;727;678;591;669
11212300000;PODREGION OŚWIĘCIMSKI;897;924;907;963;929;834;967;699;770
11212400000;PODREGION TARNOWSKI;537;650;594;613;568;618;568;488;519
11216900000;PODREGION NOWOTARSKI;315;421;377;323;352;323;295;257;298
12414400000;PODREGION BIELSKI;1642;1493;1548;1629;1640;1497;1542;1100;1190
12414500000;PODREGION BYTOMSKI;961;889;925;881;858;830;850;637;687
12414600000;PODREGION CZĘSTOCHOWSKI;697;706;699;719;782;766;805;575;656
12414700000;PODREGION GLIWICKI;1482;1461;1533;1529;1542;1471;1459;1064;1228
12414800000;PODREGION KATOWICKI;2799;2850;2824;2684;2699;2700;2786;1912;2251
12414900000;PODREGION RYBNICKI;1540;1673;1664;1633;1686;1716;1681;1309;1316
12415000000;PODREGION SOSNOWIECKI;1586;1532;1544;1460;1710;1654;1664;1288;1364
12415100000;PODREGION TYSKI;1344;1441;1419;1377;1348;1392;1363;1192;1274
20811300000;PODREGION GORZOWSKI;793;815;824;840;825;761;700;509;570
20811400000;PODREGION ZIELONOGÓRSKI;1812;1789;1518;1646;1657;1640;1454;966;1180
23015700000;PODREGION KALISKI;1800;1792;1758;1740;1778;1795;1643;1358;1332
23015800000;PODREGION KONIŃSKI;1539;1465;1430;1512;1399;1390;1327;944;998
23015900000;PODREGION LESZCZYŃSKI;1733;1687;1791;1767;1843;1656;1615;1288;1228
23016000000;PODREGION PILSKI;1255;1254;1224;1269;1246;1208;1069;803;874
23016100000;PODREGION POZNAŃSKI;2403;2628;2444;2521;2365;2411;2165;1682;1629
23016200000;PODREGION MIASTO POZNAŃ;2379;2401;2267;2342;2146;2222;2221;1575;1584
23216300000;PODREGION KOSZALIŃSKI;1193;1440;1215;1186;1201;1041;938;707;798
23216400000;PODREGION SZCZECINECKO-PYRZYCKI;808;746;799;781;770;729;675;547;517
23216500000;PODREGION MIASTO SZCZECIN;1119;1169;1141;1098;1008;1025;986;702;824
23216600000;PODREGION SZCZECIŃSKI;971;962;937;1052;925;1047;1027;824;875
30210100000;PODREGION JELENIOGÓRSKI;1144;1190;1150;1247;1236;1128;1049;784;858
30210200000;PODREGION LEGNICKO-GŁOGOWSKI;2169;1964;1992;2068;1933;1803;1643;1246;1182
30210300000;PODREGION WAŁBRZYSKI;1586;1477;1472;1483;1528;1340;1330;1015;1019
30210400000;PODREGION WROCŁAWSKI;1766;1837;1935;1832;1926;1692;1755;1433;1453
30210500000;PODREGION MIASTO WROCŁAW;2844;2873;2769;2549;2705;2409;2382;1707;1731
31613100000;PODREGION NYSKI;577;647;603;605;611;599;591;470;510
31613200000;PODREGION OPOLSKI;1717;1559;1578;1701;1635;1542;1495;1193;1341
40410600000;PODREGION BYDGOSKO-TORUŃSKI;2445;2386;2632;2373;2424;2344;2190;1638;1806
40410700000;PODREGION GRUDZIĄDZKI;878;904;882;863;844;829;863;697;683
40410800000;PODREGION WŁOCŁAWSKI;581;591;535;586;539;493;473;373;434
40416700000;PODREGION INOWROCŁAWSKI;664;674;640;674;698;677;605;630;672
40416800000;PODREGION ŚWIECKI;342;341;402;347;400;350;370;277;307
42214000000;PODREGION GDAŃSKI;859;975;896;1001;1053;1061;948;767;853
42214100000;PODREGION SŁUPSKI;1139;1084;1103;1092;1102;972;887;684;713
42214200000;PODREGION STAROGARDZKI;924;802;845;768;839;786;689;569;670
42214300000;PODREGION TRÓJMIEJSKI;2266;2082;2216;2021;2143;1996;2046;1486;1633
42217200000;PODREGION CHOJNICKI;606;610;616;570;506;605;578;501;464
42815400000;PODREGION ELBLĄSKI;1259;1239;1307;1291;1244;1093;1098;846;914
42815500000;PODREGION EŁCKI;530;589;547;549;562;551;512;335;403
42815600000;PODREGION OLSZTYŃSKI;1544;1561;1577;1615;1451;1347;1252;980;1095
51011500000;PODREGION ŁÓDZKI;598;634;648;648;731;647;734;528;616
51011600000;PODREGION MIASTO ŁÓDŹ;2144;2138;2096;2098;2068;1955;1993;1516;1677
51011700000;PODREGION PIOTRKOWSKI;1033;1067;1072;1120;1085;1033;1057;822;828
51011800000;PODREGION SIERADZKI;857;877;821;783;776;702;648;561;633
51011900000;PODREGION SKIERNIEWICKI;686;752;766;700;676;705;658;511;636
52615200000;PODREGION KIELECKI;1443;1466;1570;1666;1685;1646;1709;1225;1374
52615300000;PODREGION SANDOMIERSKO-JĘDRZEJOWSKI;449;499;440;476;505;452;459;404;421
60610900000;PODREGION BIALSKI;367;383;342;382;410;373;392;290;341
60611000000;PODREGION CHEŁMSKO-ZAMOJSKI;685;745;654;669;661;629;603;450;533
60611100000;PODREGION LUBELSKI;1810;1803;1832;1949;1876;1729;1728;1201;1505
60611200000;PODREGION PUŁAWSKI;679;610;619;661;674;562;639;517;594
61813300000;PODREGION KROŚNIEŃSKI;775;784;827;910;829;877;775;620;645
61813400000;PODREGION PRZEMYSKI;486;586;520;507;556;537;512;371;432
61813500000;PODREGION RZESZOWSKI;1151;1287;1266;1169;1311;1185;1169;868;1026
61813600000;PODREGION TARNOBRZESKI;862;857;796;852;863;866;875;646;745
62013700000;PODREGION BIAŁOSTOCKI;1032;982;962;1016;1109;984;1109;820;988
62013800000;PODREGION ŁOMŻYŃSKI;681;633;655;651;679;704;720;565;739
62013900000;PODREGION SUWALSKI;441;430;446;490;506;517;424;372;383
71412800000;PODREGION MIASTO WARSZAWA;6162;5677;5592;5580;5734;5458;5853;3996;4624
71412900000;PODREGION WARSZAWSKI WSCHODNI;630;707;692;747;651;603;690;523;652
71413000000;PODREGION WARSZAWSKI ZACHODNI;1071;1141;1116;1117;1182;1112;1089;863;962
71422500000;PODREGION CIECHANOWSKI;320;401;380;473;391;480;428;353;371
71422600000;PODREGION OSTROŁĘCKI;426;479;421;431;480;419;493;363;416
71422700000;PODREGION RADOMSKI;651;728;705;688;773;700;729;503;540
71427000000;PODREGION PŁOCKI;597;593;567;539;555;473;499;318;385
71427100000;PODREGION SIEDLECKI;652;585;567;639;629;613;653;448;580
71427300000;PODREGION ŻYRARDOWSKI;318;396;370;308;366;296;355;258;291
;;;;;;;;;;
;;2013;2014;2015;2016;2017;2018;2019;2020;2021
;;512;560;590,5;555,5;606,5;569,5;594,5;469;552
