"Kod";"Nazwa";"przyrost naturalny na 1000 ludności;ogółem;2021;[-]";
011212000000;"PODREGION KRAKOWSKI";-1,19;
011212100000;"PODREGION MIASTO KRAKÓW";-1,00;
011212200000;"PODREGION NOWOSĄDECKI";-0,27;
011212300000;"PODREGION OŚWIĘCIMSKI";-5,94;
011212400000;"PODREGION TARNOWSKI";-3,85;
011216900000;"PODREGION NOWOTARSKI";-1,90;
012414400000;"PODREGION BIELSKI";-5,18;
012414500000;"PODREGION BYTOMSKI";-7,28;
012414600000;"PODREGION CZĘSTOCHOWSKI";-9,00;
012414700000;"PODREGION GLIWICKI";-6,64;
012414800000;"PODREGION KATOWICKI";-7,88;
012414900000;"PODREGION RYBNICKI";-6,32;
012415000000;"PODREGION SOSNOWIECKI";-10,16;
012415100000;"PODREGION TYSKI";-3,52;
020811300000;"PODREGION GORZOWSKI";-6,38;
020811400000;"PODREGION ZIELONOGÓRSKI";-5,72;
023015700000;"PODREGION KALISKI";-3,93;
023015800000;"PODREGION KONIŃSKI";-3,98;
023015900000;"PODREGION LESZCZYŃSKI";-2,65;
023016000000;"PODREGION PILSKI";-4,82;
023016100000;"PODREGION POZNAŃSKI";0,66;
023016200000;"PODREGION MIASTO POZNAŃ";-2,79;
023216300000;"PODREGION KOSZALIŃSKI";-6,57;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";-7,18;
023216500000;"PODREGION MIASTO SZCZECIN";-6,74;
023216600000;"PODREGION SZCZECIŃSKI";-5,01;
030210100000;"PODREGION JELENIOGÓRSKI";-8,71;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";-5,27;
030210300000;"PODREGION WAŁBRZYSKI";-10,34;
030210400000;"PODREGION WROCŁAWSKI";-1,80;
030210500000;"PODREGION MIASTO WROCŁAW";-2,02;
031613100000;"PODREGION NYSKI";-7,81;
031613200000;"PODREGION OPOLSKI";-5,22;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";-4,95;
040410700000;"PODREGION GRUDZIĄDZKI";-5,79;
040410800000;"PODREGION WŁOCŁAWSKI";-7,59;
040416700000;"PODREGION INOWROCŁAWSKI";-6,14;
040416800000;"PODREGION ŚWIECKI";-4,43;
042214000000;"PODREGION GDAŃSKI";1,96;
042214100000;"PODREGION SŁUPSKI";-4,31;
042214200000;"PODREGION STAROGARDZKI";-3,76;
042214300000;"PODREGION TRÓJMIEJSKI";-3,43;
042217200000;"PODREGION CHOJNICKI";-1,61;
042815400000;"PODREGION ELBLĄSKI";-6,31;
042815500000;"PODREGION EŁCKI";-5,99;
042815600000;"PODREGION OLSZTYŃSKI";-5,78;
051011500000;"PODREGION ŁÓDZKI";-7,03;
051011600000;"PODREGION MIASTO ŁÓDŹ";-9,96;
051011700000;"PODREGION PIOTRKOWSKI";-6,87;
051011800000;"PODREGION SIERADZKI";-5,87;
051011900000;"PODREGION SKIERNIEWICKI";-7,53;
052615200000;"PODREGION KIELECKI";-7,85;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";-8,54;
060610900000;"PODREGION BIALSKI";-7,30;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";-8,87;
060611100000;"PODREGION LUBELSKI";-4,82;
060611200000;"PODREGION PUŁAWSKI";-6,96;
061813300000;"PODREGION KROŚNIEŃSKI";-5,31;
061813400000;"PODREGION PRZEMYSKI";-5,41;
061813500000;"PODREGION RZESZOWSKI";-1,93;
061813600000;"PODREGION TARNOBRZESKI";-4,66;
062013700000;"PODREGION BIAŁOSTOCKI";-3,84;
062013800000;"PODREGION ŁOMŻYŃSKI";-8,08;
062013900000;"PODREGION SUWALSKI";-6,05;
071412800000;"PODREGION MIASTO WARSZAWA";-2,29;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";-1,47;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";-1,88;
071422500000;"PODREGION CIECHANOWSKI";-5,99;
071422600000;"PODREGION OSTROŁĘCKI";-4,78;
071422700000;"PODREGION RADOMSKI";-6,21;
071427000000;"PODREGION PŁOCKI";-6,77;
071427100000;"PODREGION SIEDLECKI";-4,48;
071427300000;"PODREGION ŻYRARDOWSKI";-6,16;
