"Kod";"Nazwa";"zgłoszenia wynalazków w UPRP na 1 mln mieszkańców;2021;[-]";
011212000000;"PODREGION KRAKOWSKI";43,3;
011212100000;"PODREGION MIASTO KRAKÓW";282,1;
011212200000;"PODREGION NOWOSĄDECKI";43,1;
011212300000;"PODREGION OŚWIĘCIMSKI";78,0;
011212400000;"PODREGION TARNOWSKI";26,4;
011216900000;"PODREGION NOWOTARSKI";26,4;
012414400000;"PODREGION BIELSKI";53,0;
012414500000;"PODREGION BYTOMSKI";45,2;
012414600000;"PODREGION CZĘSTOCHOWSKI";217,2;
012414700000;"PODREGION GLIWICKI";305,7;
012414800000;"PODREGION KATOWICKI";150,2;
012414900000;"PODREGION RYBNICKI";22,9;
012415000000;"PODREGION SOSNOWIECKI";16,7;
012415100000;"PODREGION TYSKI";35,5;
020811300000;"PODREGION GORZOWSKI";18,6;
020811400000;"PODREGION ZIELONOGÓRSKI";45,7;
023015700000;"PODREGION KALISKI";45,6;
023015800000;"PODREGION KONIŃSKI";31,2;
023015900000;"PODREGION LESZCZYŃSKI";34,4;
023016000000;"PODREGION PILSKI";22,5;
023016100000;"PODREGION POZNAŃSKI";69,5;
023016200000;"PODREGION MIASTO POZNAŃ";324,1;
023216300000;"PODREGION KOSZALIŃSKI";48,7;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";17,3;
023216500000;"PODREGION MIASTO SZCZECIN";283,2;
023216600000;"PODREGION SZCZECIŃSKI";13,8;
030210100000;"PODREGION JELENIOGÓRSKI";22,1;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";16,1;
030210300000;"PODREGION WAŁBRZYSKI";11,3;
030210400000;"PODREGION WROCŁAWSKI";47,6;
030210500000;"PODREGION MIASTO WROCŁAW";294,3;
031613100000;"PODREGION NYSKI";5,6;
031613200000;"PODREGION OPOLSKI";55,5;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";102,7;
040410700000;"PODREGION GRUDZIĄDZKI";29,2;
040410800000;"PODREGION WŁOCŁAWSKI";14,5;
040416700000;"PODREGION INOWROCŁAWSKI";20,0;
040416800000;"PODREGION ŚWIECKI";5,5;
042214000000;"PODREGION GDAŃSKI";25,6;
042214100000;"PODREGION SŁUPSKI";27,7;
042214200000;"PODREGION STAROGARDZKI";38,1;
042214300000;"PODREGION TRÓJMIEJSKI";192,4;
042217200000;"PODREGION CHOJNICKI";17,9;
042815400000;"PODREGION ELBLĄSKI";27,7;
042815500000;"PODREGION EŁCKI";32,6;
042815600000;"PODREGION OLSZTYŃSKI";51,8;
051011500000;"PODREGION ŁÓDZKI";76,6;
051011600000;"PODREGION MIASTO ŁÓDŹ";191,4;
051011700000;"PODREGION PIOTRKOWSKI";31,9;
051011800000;"PODREGION SIERADZKI";16,2;
051011900000;"PODREGION SKIERNIEWICKI";11,5;
052615200000;"PODREGION KIELECKI";80,4;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";26,1;
060610900000;"PODREGION BIALSKI";24,3;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";8,4;
060611100000;"PODREGION LUBELSKI";327,5;
060611200000;"PODREGION PUŁAWSKI";21,9;
061813300000;"PODREGION KROŚNIEŃSKI";21,4;
061813400000;"PODREGION PRZEMYSKI";15,9;
061813500000;"PODREGION RZESZOWSKI";210,4;
061813600000;"PODREGION TARNOBRZESKI";58,4;
062013700000;"PODREGION BIAŁOSTOCKI";91,8;
062013800000;"PODREGION ŁOMŻYŃSKI";37,0;
062013900000;"PODREGION SUWALSKI";38,1;
071412800000;"PODREGION MIASTO WARSZAWA";257,5;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";42,5;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";80,3;
071422500000;"PODREGION CIECHANOWSKI";15,2;
071422600000;"PODREGION OSTROŁĘCKI";34,8;
071422700000;"PODREGION RADOMSKI";122,4;
071427000000;"PODREGION PŁOCKI";60,0;
071427100000;"PODREGION SIEDLECKI";44,2;
071427300000;"PODREGION ŻYRARDOWSKI";31,0;
