"Kod";"Nazwa";"o nawierzchni twardej;2021;[km]";
011212000000;"PODREGION KRAKOWSKI";4551,8;
011212100000;"PODREGION MIASTO KRAKÓW";729,8;
011212200000;"PODREGION NOWOSĄDECKI";4209,3;
011212300000;"PODREGION OŚWIĘCIMSKI";2275,3;
011212400000;"PODREGION TARNOWSKI";3152,4;
011216900000;"PODREGION NOWOTARSKI";2453,7;
012414400000;"PODREGION BIELSKI";3156,5;
012414500000;"PODREGION BYTOMSKI";1318,9;
012414600000;"PODREGION CZĘSTOCHOWSKI";2185,7;
012414700000;"PODREGION GLIWICKI";894,9;
012414800000;"PODREGION KATOWICKI";748,2;
012414900000;"PODREGION RYBNICKI";1880,4;
012415000000;"PODREGION SOSNOWIECKI";1752,0;
012415100000;"PODREGION TYSKI";1185,5;
020811300000;"PODREGION GORZOWSKI";1221,3;
020811400000;"PODREGION ZIELONOGÓRSKI";1821,3;
023015700000;"PODREGION KALISKI";3986,1;
023015800000;"PODREGION KONIŃSKI";4675,0;
023015900000;"PODREGION LESZCZYŃSKI";2025,8;
023016000000;"PODREGION PILSKI";1885,4;
023016100000;"PODREGION POZNAŃSKI";2281,7;
023016200000;"PODREGION MIASTO POZNAŃ";599,0;
023216300000;"PODREGION KOSZALIŃSKI";1017,7;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";1162,0;
023216500000;"PODREGION MIASTO SZCZECIN";431,9;
023216600000;"PODREGION SZCZECIŃSKI";1239,0;
030210100000;"PODREGION JELENIOGÓRSKI";3183,1;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";1316,3;
030210300000;"PODREGION WAŁBRZYSKI";1843,2;
030210400000;"PODREGION WROCŁAWSKI";2445,7;
030210500000;"PODREGION MIASTO WROCŁAW";872,6;
031613100000;"PODREGION NYSKI";942,5;
031613200000;"PODREGION OPOLSKI";2345,8;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";2192,0;
040410700000;"PODREGION GRUDZIĄDZKI";2196,2;
040410800000;"PODREGION WŁOCŁAWSKI";2901,5;
040416700000;"PODREGION INOWROCŁAWSKI";1470,0;
040416800000;"PODREGION ŚWIECKI";876,6;
042214000000;"PODREGION GDAŃSKI";2336,8;
042214100000;"PODREGION SŁUPSKI";1277,7;
042214200000;"PODREGION STAROGARDZKI";1430,4;
042214300000;"PODREGION TRÓJMIEJSKI";912,8;
042217200000;"PODREGION CHOJNICKI";1216,7;
042815400000;"PODREGION ELBLĄSKI";1791,8;
042815500000;"PODREGION EŁCKI";841,8;
042815600000;"PODREGION OLSZTYŃSKI";1502,4;
051011500000;"PODREGION ŁÓDZKI";1720,5;
051011600000;"PODREGION MIASTO ŁÓDŹ";366,4;
051011700000;"PODREGION PIOTRKOWSKI";3403,0;
051011800000;"PODREGION SIERADZKI";2846,6;
051011900000;"PODREGION SKIERNIEWICKI";2806,3;
052615200000;"PODREGION KIELECKI";2386,5;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";4665,7;
060610900000;"PODREGION BIALSKI";1954,5;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";3919,2;
060611100000;"PODREGION LUBELSKI";2757,3;
060611200000;"PODREGION PUŁAWSKI";2902,1;
061813300000;"PODREGION KROŚNIEŃSKI";1816,2;
061813400000;"PODREGION PRZEMYSKI";1662,7;
061813500000;"PODREGION RZESZOWSKI";2279,8;
061813600000;"PODREGION TARNOBRZESKI";2782,0;
062013700000;"PODREGION BIAŁOSTOCKI";1392,9;
062013800000;"PODREGION ŁOMŻYŃSKI";2369,1;
062013900000;"PODREGION SUWALSKI";1570,3;
071412800000;"PODREGION MIASTO WARSZAWA";1564,2;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";2345,1;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";2599,3;
071422500000;"PODREGION CIECHANOWSKI";2806,6;
071422600000;"PODREGION OSTROŁĘCKI";2855,0;
071422700000;"PODREGION RADOMSKI";3136,8;
071427000000;"PODREGION PŁOCKI";1611,3;
071427100000;"PODREGION SIEDLECKI";2419,9;
071427300000;"PODREGION ŻYRARDOWSKI";1606,0;
