"Kod";"Nazwa";"ogółem;ogółem;2021;[osoba]";
011212000000;"PODREGION KRAKOWSKI";245;
011212100000;"PODREGION MIASTO KRAKÓW";314;
011212200000;"PODREGION NOWOSĄDECKI";134;
011212300000;"PODREGION OŚWIĘCIMSKI";267;
011212400000;"PODREGION TARNOWSKI";177;
011216900000;"PODREGION NOWOTARSKI";80;
012414400000;"PODREGION BIELSKI";249;
012414500000;"PODREGION BYTOMSKI";248;
012414600000;"PODREGION CZĘSTOCHOWSKI";332;
012414700000;"PODREGION GLIWICKI";160;
012414800000;"PODREGION KATOWICKI";270;
012414900000;"PODREGION RYBNICKI";187;
012415000000;"PODREGION SOSNOWIECKI";224;
012415100000;"PODREGION TYSKI";136;
020811300000;"PODREGION GORZOWSKI";60;
020811400000;"PODREGION ZIELONOGÓRSKI";273;
023015700000;"PODREGION KALISKI";156;
023015800000;"PODREGION KONIŃSKI";268;
023015900000;"PODREGION LESZCZYŃSKI";58;
023016000000;"PODREGION PILSKI";186;
023016100000;"PODREGION POZNAŃSKI";138;
023016200000;"PODREGION MIASTO POZNAŃ";0;
023216300000;"PODREGION KOSZALIŃSKI";149;
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";149;
023216500000;"PODREGION MIASTO SZCZECIN";114;
023216600000;"PODREGION SZCZECIŃSKI";182;
030210100000;"PODREGION JELENIOGÓRSKI";221;
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";131;
030210300000;"PODREGION WAŁBRZYSKI";181;
030210400000;"PODREGION WROCŁAWSKI";501;
030210500000;"PODREGION MIASTO WROCŁAW";0;
031613100000;"PODREGION NYSKI";98;
031613200000;"PODREGION OPOLSKI";128;
040410600000;"PODREGION BYDGOSKO-TORUŃSKI";165;
040410700000;"PODREGION GRUDZIĄDZKI";94;
040410800000;"PODREGION WŁOCŁAWSKI";89;
040416700000;"PODREGION INOWROCŁAWSKI";60;
040416800000;"PODREGION ŚWIECKI";40;
042214000000;"PODREGION GDAŃSKI";392;
042214100000;"PODREGION SŁUPSKI";228;
042214200000;"PODREGION STAROGARDZKI";322;
042214300000;"PODREGION TRÓJMIEJSKI";584;
042217200000;"PODREGION CHOJNICKI";149;
042815400000;"PODREGION ELBLĄSKI";258;
042815500000;"PODREGION EŁCKI";162;
042815600000;"PODREGION OLSZTYŃSKI";165;
051011500000;"PODREGION ŁÓDZKI";143;
051011600000;"PODREGION MIASTO ŁÓDŹ";641;
051011700000;"PODREGION PIOTRKOWSKI";262;
051011800000;"PODREGION SIERADZKI";176;
051011900000;"PODREGION SKIERNIEWICKI";129;
052615200000;"PODREGION KIELECKI";381;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";147;
060610900000;"PODREGION BIALSKI";91;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";214;
060611100000;"PODREGION LUBELSKI";235;
060611200000;"PODREGION PUŁAWSKI";186;
061813300000;"PODREGION KROŚNIEŃSKI";209;
061813400000;"PODREGION PRZEMYSKI";105;
061813500000;"PODREGION RZESZOWSKI";152;
061813600000;"PODREGION TARNOBRZESKI";165;
062013700000;"PODREGION BIAŁOSTOCKI";237;
062013800000;"PODREGION ŁOMŻYŃSKI";200;
062013900000;"PODREGION SUWALSKI";105;
071412800000;"PODREGION MIASTO WARSZAWA";315;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";162;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";144;
071422500000;"PODREGION CIECHANOWSKI";105;
071422600000;"PODREGION OSTROŁĘCKI";123;
071422700000;"PODREGION RADOMSKI";120;
071427000000;"PODREGION PŁOCKI";164;
071427100000;"PODREGION SIEDLECKI";126;
071427300000;"PODREGION ŻYRARDOWSKI";37;
